institution,country,national_rank
Harvard University,USA,1
Massachusetts Institute of Technology,USA,2
Stanford University,USA,3
University of Cambridge,United Kingdom,1
California Institute of Technology,USA,4
Princeton University,USA,5
University of Oxford,United Kingdom,2
Yale University,USA,6
Columbia University,USA,7
"University of California, Berkeley",USA,8
University of Chicago,USA,9
Cornell University,USA,10
University of Pennsylvania,USA,11
University of Tokyo,Japan,1
Johns Hopkins University,USA,12
Swiss Federal Institute of Technology in Zurich,Switzerland,1
Kyoto University,Japan,2
Weizmann Institute of Science,Israel,1
"University of California, Los Angeles",USA,13
"University of California, San Diego",USA,14
Rockefeller University,USA,15
Hebrew University of Jerusalem,Israel,2
New York University,USA,16
"University of California, San Francisco",USA,17
University of Wisconsin–Madison,USA,18
University of Illinois at Urbana–Champaign,USA,19
Duke University,USA,20
Imperial College London,United Kingdom,3
University of Texas Southwestern Medical Center,USA,21
University of Texas at Austin,USA,22
University College London,United Kingdom,4
Osaka University,Japan,3
Northwestern University,USA,23
"University of Michigan, Ann Arbor",USA,24
University of Toronto,Canada,1
University of North Carolina at Chapel Hill,USA,25
Washington University in St. Louis,USA,26
University of Utah,USA,27
University of Washington - Seattle,USA,28
"University of California, Santa Barbara",USA,29
McGill University,Canada,2
"Purdue University, West Lafayette",USA,30
Carnegie Mellon University,USA,31
University of Southern California,USA,32
"University of California, Davis",USA,33
University of Colorado Boulder,USA,34
"University of California, Irvine",USA,35
University of Paris-Sud,France,1
"University of Minnesota, Twin Cities",USA,36
University of Arizona,USA,37
Technion – Israel Institute of Technology,Israel,3
"Ohio State University, Columbus",USA,38
University of Rochester,USA,39
École normale supérieure - Paris,France,2
University of Florida,USA,40
Tel Aviv University,Israel,4
Rice University,USA,41
Dartmouth College,USA,42
Vanderbilt University,USA,43
University of Edinburgh,United Kingdom,1
École Polytechnique,France,3
Boston University,USA,44
Pierre-and-Marie-Curie University,France,4
"Pennsylvania State University, University Park",USA,45
University of Geneva,Switzerland,2
Brown University,USA,46
University of British Columbia,Canada,3
"University of Maryland, College Park",USA,47
Swiss Federal Institute of Technology in Lausanne,Switzerland,3
Karolinska Institute,Sweden,1
University of Pittsburgh - Pittsburgh Campus,USA,48
Rutgers University-New Brunswick,USA,49
"Texas A&M University, College Station",USA,50
Nagoya University,Japan,4
Seoul National University,South Korea,1
University of Manchester,United Kingdom,5
Sapienza University of Rome,Italy,1
Case Western Reserve University,USA,51
Tohoku University,Japan,5
Arizona State University,USA,52
Emory University,USA,53
Ruprecht Karl University of Heidelberg,Germany,1
Ludwig Maximilian University of Munich,Germany,2
University of Virginia,USA,54
Leiden University,Netherlands,1
Tufts University,USA,55
Georgia Institute of Technology,USA,56
University of Zurich,Switzerland,4
University of Helsinki,Finland,1
Technical University of Munich,Germany,3
University of Oslo,Norway,1
University of Queensland,Australia,1
University of Copenhagen,Denmark,1
University of Sydney,Australia,2
Williams College,USA,57
University of Texas MD Anderson Cancer Center,USA,58
University of Nottingham,United Kingdom,6
University of Bristol,United Kingdom,7
Utrecht University,Netherlands,2
Mines ParisTech,France,5
Harvard University,USA,1
Stanford University,USA,2
University of Oxford,United Kingdom,1
Massachusetts Institute of Technology,USA,3
University of Cambridge,United Kingdom,2
Columbia University,USA,4
"University of California, Berkeley",USA,5
Princeton University,USA,6
University of Chicago,USA,7
Yale University,USA,8
California Institute of Technology,USA,9
University of Pennsylvania,USA,10
Cornell University,USA,11
University of Tokyo,Japan,1
Kyoto University,Japan,2
"University of California, Los Angeles",USA,12
Johns Hopkins University,USA,13
Swiss Federal Institute of Technology in Zurich,Switzerland,1
New York University,USA,14
"University of California, San Diego",USA,15
Hebrew University of Jerusalem,Israel,1
"University of California, San Francisco",USA,16
University of Wisconsin–Madison,USA,17
University of Illinois at Urbana–Champaign,USA,18
Duke University,USA,19
University of Texas at Austin,USA,20
Imperial College London,United Kingdom,3
Northwestern University,USA,21
University of Toronto,Canada,1
University College London,United Kingdom,4
University of Washington - Seattle,USA,22
"University of Michigan, Ann Arbor",USA,23
Weizmann Institute of Science,Israel,2
University of North Carolina at Chapel Hill,USA,24
Osaka University,Japan,3
University of Paris-Sud,France,1
"University of California, Santa Barbara",USA,25
"Purdue University, West Lafayette",USA,26
University of Southern California,USA,27
Seoul National University,South Korea,1
University of Colorado Boulder,USA,28
University of Utah,USA,29
Rutgers University-New Brunswick,USA,30
"University of Minnesota, Twin Cities",USA,31
University of Edinburgh,United Kingdom,5
University of Texas Southwestern Medical Center,USA,32
McGill University,Canada,2
Pierre-and-Marie-Curie University,France,2
Rockefeller University,USA,33
"Pennsylvania State University, University Park",USA,34
Carnegie Mellon University,USA,35
"Ohio State University, Columbus",USA,36
"University of California, Davis",USA,37
Boston University,USA,38
University of Florida,USA,39
University of Geneva,Switzerland,2
Tel Aviv University,Israel,3
University of British Columbia,Canada,3
"University of Maryland, College Park",USA,40
Karolinska Institute,Sweden,1
Vanderbilt University,USA,41
Sapienza University of Rome,Italy,1
Washington University in St. Louis,USA,42
École normale supérieure - Paris,France,3
"University of California, Irvine",USA,43
Technion – Israel Institute of Technology,Israel,4
Ludwig Maximilian University of Munich,Germany,1
University of Copenhagen,Denmark,1
University of Pittsburgh - Pittsburgh Campus,USA,44
Keio University,Japan,4
University of Virginia,USA,45
University of Manchester,United Kingdom,6
Arizona State University,USA,46
University of Zurich,Switzerland,3
King's College London,United Kingdom,7
University of Rochester,USA,47
Brown University,USA,48
University of Arizona,USA,49
Ruprecht Karl University of Heidelberg,Germany,2
"Texas A&M University, College Station",USA,50
University of Oslo,Norway,1
Dartmouth College,USA,51
Swiss Federal Institute of Technology in Lausanne,Switzerland,4
Utrecht University,Netherlands,1
Indiana University - Bloomington,USA,52
École Polytechnique,France,4
National University of Singapore,Singapore,1
University of Texas MD Anderson Cancer Center,USA,53
Stony Brook University,USA,54
Lomonosov Moscow State University,Russia,1
Nagoya University,Japan,5
University of Sydney,Australia,1
Emory University,USA,55
Rice University,USA,56
Tohoku University,Japan,6
Australian National University,Australia,2
University of Alberta,Canada,4
University of Helsinki,Finland,1
Paris Diderot University - Paris 7,France,5
Georgia Institute of Technology,USA,57
Harvard University,USA,1
Stanford University,USA,2
Massachusetts Institute of Technology,USA,3
University of Cambridge,United Kingdom,1
University of Oxford,United Kingdom,2
Columbia University,USA,4
"University of California, Berkeley",USA,5
University of Chicago,USA,6
Princeton University,USA,7
Yale University,USA,8
Cornell University,USA,9
California Institute of Technology,USA,10
University of Tokyo,Japan,1
University of Pennsylvania,USA,11
"University of California, Los Angeles",USA,12
Kyoto University,Japan,2
New York University,USA,13
Swiss Federal Institute of Technology in Zurich,Switzerland,1
Johns Hopkins University,USA,14
"University of California, San Diego",USA,15
"University of Michigan, Ann Arbor",USA,16
Hebrew University of Jerusalem,Israel,1
Northwestern University,USA,17
Seoul National University,South Korea,1
University of Wisconsin–Madison,USA,18
Duke University,USA,19
"University of California, San Francisco",USA,20
University of Illinois at Urbana–Champaign,USA,21
University of Texas at Austin,USA,22
University College London,United Kingdom,3
University of Toronto,Canada,1
University of Washington - Seattle,USA,23
Rutgers University-New Brunswick,USA,24
Keio University,Japan,3
École normale supérieure - Paris,France,1
École Polytechnique,France,2
Rockefeller University,USA,25
Weizmann Institute of Science,Israel,2
Imperial College London,United Kingdom,4
Waseda University,Japan,4
University of Virginia,USA,26
McGill University,Canada,2
Osaka University,Japan,5
Dartmouth College,USA,27
University of North Carolina at Chapel Hill,USA,28
"Pennsylvania State University, University Park",USA,29
"Ohio State University, Columbus",USA,30
Lomonosov Moscow State University,Russia,1
"University of Minnesota, Twin Cities",USA,31
University of Paris-Sud,France,3
University of Southern California,USA,32
"Purdue University, West Lafayette",USA,33
University of Pittsburgh - Pittsburgh Campus,USA,34
Carnegie Mellon University,USA,35
Peking University,China,1
University of Edinburgh,United Kingdom,5
"University of California, Davis",USA,36
Washington University in St. Louis,USA,37
University of Florida,USA,38
"University of California, Santa Barbara",USA,39
University of British Columbia,Canada,3
University of Utah,USA,40
University of Colorado Boulder,USA,41
University of Notre Dame,USA,42
National Taiwan University,Taiwan,1
University of Texas Southwestern Medical Center,USA,43
Boston University,USA,44
Pierre-and-Marie-Curie University,France,4
University of Manchester,United Kingdom,6
University of Arizona,USA,45
Vanderbilt University,USA,46
Tohoku University,Japan,6
Karolinska Institute,Sweden,1
National University of Singapore,Singapore,1
University of Geneva,Switzerland,2
"University of Maryland, College Park",USA,47
University of Rochester,USA,48
Emory University,USA,49
University of Copenhagen,Denmark,1
"University of California, Irvine",USA,50
Brown University,USA,51
Ludwig Maximilian University of Munich,Germany,1
Georgia Institute of Technology,USA,52
Tufts University,USA,53
University of Zurich,Switzerland,3
Tel Aviv University,Israel,3
Tsinghua University,China,2
Utrecht University,Netherlands,1
Ruprecht Karl University of Heidelberg,Germany,2
King's College London,United Kingdom,7
Sapienza University of Rome,Italy,1
Kyushu University,Japan,7
Swiss Federal Institute of Technology in Lausanne,Switzerland,4
Katholieke Universiteit Leuven,Belgium,1
University of Sydney,Australia,1
Tokyo Institute of Technology,Japan,8
University of Melbourne,Australia,2
University of Bonn,Germany,3
Technical University of Munich,Germany,4
Royal Institute of Technology,Sweden,2
Erasmus University Rotterdam,Netherlands,2
Case Western Reserve University,USA,54
University of Alberta,Canada,4
University of Texas MD Anderson Cancer Center,USA,55
"Texas A&M University, College Station",USA,56
Arizona State University,USA,57
Yonsei University,South Korea,2
Rice University,USA,58
Technion – Israel Institute of Technology,Israel,4
University of Helsinki,Finland,1
University of Oslo,Norway,1
Michigan State University,USA,59
Indiana University - Bloomington,USA,60
University of the Witwatersrand,South Africa,1
University of Queensland,Australia,3
Lund University,Sweden,3
Leiden University,Netherlands,3
Georgetown University,USA,61
Aarhus University,Denmark,2
University of Barcelona,Spain,1
Baylor College of Medicine,USA,62
University of Amsterdam,Netherlands,4
University of Bristol,United Kingdom,8
Uppsala University,Sweden,4
University of Iowa,USA,63
Stony Brook University,USA,64
University of Groningen,Netherlands,5
Korea Advanced Institute of Science and Technology (KAIST),South Korea,3
Radboud University Nijmegen,Netherlands,6
Korea University,South Korea,4
University of São Paulo,Brazil,1
Nagoya University,Japan,9
University of Colorado Denver,USA,65
University of Montreal,Canada,5
Albert Ludwig University of Freiburg,Germany,5
Ghent University,Belgium,2
University of Glasgow,United Kingdom,9
University of Miami,USA,66
Université libre de Bruxelles,Belgium,3
Paris Diderot University - Paris 7,France,5
McMaster University,Canada,6
University of Birmingham,United Kingdom,10
University of Texas at Dallas,USA,67
VU University Amsterdam,Netherlands,7
Wake Forest University,USA,68
University of Southampton,United Kingdom,11
University of Nottingham,United Kingdom,12
Nanyang Technological University,Singapore,2
University of New South Wales,Australia,4
Osaka City University,Japan,10
University of Leeds,United Kingdom,13
Western University (The University of Western Ontario),Canada,7
Kobe University,Japan,11
University of Basel,Switzerland,5
University of Hong Kong,Hong Kong,1
Indiana University-Purdue University Indianapolis,USA,69
Humboldt University of Berlin,Germany,6
Free University of Berlin,Germany,7
University of Tübingen,Germany,8
Australian National University,Australia,5
Goethe University Frankfurt,Germany,9
University of Houston,USA,70
"University of California, Santa Cruz",USA,71
University of Alabama at Birmingham,USA,72
Icahn School of Medicine at Mount Sinai,USA,73
University of Calgary,Canada,8
Mines ParisTech,France,6
University of Gothenburg,Sweden,5
University of Göttingen,Germany,10
Monash University,Australia,6
Southern Methodist University,USA,74
Yeshiva University,USA,75
University of South Florida - Tampa,USA,76
Hanyang University,South Korea,5
Oregon Health & Science University,USA,77
University of Strasbourg,France,7
University of Cincinnati,USA,78
University of Sheffield,United Kingdom,14
University of Hamburg,Germany,11
George Washington University,USA,79
University of Milan,Italy,2
Iowa State University,USA,80
"University of Maryland, Baltimore",USA,81
University of Padua,Italy,3
University of New Mexico,USA,82
Pohang University of Science and Technology,South Korea,6
Stockholm University,Sweden,6
Hokkaido University,Japan,12
Fudan University,China,3
University of Sussex,United Kingdom,15
Université catholique de Louvain,Belgium,4
Wayne State University,USA,83
University of Massachusetts Medical School,USA,84
University of Lausanne,Switzerland,6
Shanghai Jiao Tong University,China,4
University of Missouri–Columbia,USA,85
Technical University of Denmark,Denmark,3
Complutense University of Madrid,Spain,2
University of Cologne,Germany,12
"Trinity College, Dublin",Ireland,1
University of Bern,Switzerland,7
Chinese University of Hong Kong,Hong Kong,2
University of Kansas,USA,86
Sungkyunkwan University,South Korea,7
University of Vienna,Austria,1
Zhejiang University,China,5
University of Georgia,USA,87
University of Massachusetts Amherst,USA,88
Cardiff University,United Kingdom,16
University of Münster,Germany,13
University of Liverpool,United Kingdom,17
University of Ottawa,Canada,9
University of Erlangen-Nuremberg,Germany,14
Queen Mary University of London,United Kingdom,18
Karlsruhe Institute of Technology,Germany,15
Louisiana State University - Baton Rouge,USA,89
Nanjing University,China,6
University of Illinois at Chicago,USA,90
University of Bologna,Italy,4
University of Manitoba,Canada,10
Joseph Fourier University,France,8
"University of California, Riverside",USA,91
Julius-Maximilian's University of Würzburg,Germany,16
Aix-Marseille University,France,9
University of Western Australia,Australia,7
Laval University,Canada,11
"University of Tennessee, Knoxville",USA,92
North Carolina State University,USA,93
Newcastle University,United Kingdom,19
Claude Bernard University Lyon 1,France,10
University of Turin,Italy,5
University of Kiel,Germany,17
University of Connecticut,USA,94
Tulane University,USA,95
University of Oklahoma - Norman Campus,USA,96
Brandeis University,USA,97
Dresden University of Technology,Germany,18
RWTH Aachen University,Germany,19
University of Texas Health Science Center at San Antonio,USA,98
Virginia Commonwealth University,USA,99
University of Montpellier 2,France,11
Dalian University of Technology,China,7
Rensselaer Polytechnic Institute,USA,100
Paul Sabatier University - Toulouse III,France,12
Paris Descartes University,France,13
National Cheng Kung University,Taiwan,2
University of Delaware,USA,101
Vrije Universiteit Brussel,Belgium,5
Johannes Gutenberg University of Mainz,Germany,20
Maastricht University,Netherlands,8
University of Düsseldorf,Germany,21
University of Dundee,United Kingdom,20
University of Tsukuba,Japan,13
Autonomous University of Barcelona,Spain,3
Florida State University,USA,102
University of Texas at San Antonio,USA,103
London School of Hygiene & Tropical Medicine,United Kingdom,21
Lehigh University,USA,104
University of Kentucky,USA,105
Thomas Jefferson University,USA,106
Drexel University,USA,107
Colorado State University - Fort Collins,USA,108
University of Leicester,United Kingdom,22
Durham University,United Kingdom,23
Oregon State University,USA,109
University of Florence,Italy,6
University of Cape Town,South Africa,2
"University at Buffalo, The State University of New York",USA,110
University College Dublin,Ireland,2
University of Science and Technology of China,China,8
Virginia Polytechnic Institute and State University,USA,111
University of Naples Federico II,Italy,7
University of Auckland,New Zealand,1
University of Texas Health Science Center at Houston,USA,112
Delft University of Technology,Netherlands,9
University of Aberdeen,United Kingdom,24
Queen's University,Canada,12
University of Lisbon,Portugal,1
Hiroshima University,Japan,14
University of Waterloo,Canada,13
Okayama University,Japan,15
University of Ulm,Germany,22
Chulalongkorn University,Thailand,1
Dalhousie University,Canada,14
Saint Petersburg State University,Russia,2
Norwegian University of Science and Technology,Norway,2
University of Reading,United Kingdom,25
Wageningen University and Research Centre,Netherlands,10
Umeå University,Sweden,7
University of Porto,Portugal,2
Hong Kong University of Science and Technology,Hong Kong,3
Sun Yat-sen University,China,9
Medical College of Wisconsin,USA,113
City College of New York,USA,114
Hannover Medical School,Germany,23
"Washington State University, Pullman",USA,115
Technical University of Berlin,Germany,24
University of South Carolina - Columbia,USA,116
Leipzig University,Germany,25
University of Stuttgart,Germany,26
University of Valencia,Spain,4
Linköping University,Sweden,8
University of Duisburg-Essen,Germany,27
Ruhr University Bochum,Germany,28
University of Bergen,Norway,3
London School of Economics,United Kingdom,26
Wesleyan University,USA,117
University of Pisa,Italy,8
Autonomous University of Madrid,Spain,5
Medical University of Vienna,Austria,2
Stellenbosch University,South Africa,3
Medical University of South Carolina,USA,118
Charles University in Prague,Czech Republic,1
Kyungpook National University,South Korea,8
"University of Science, Malaysia",Malaysia,1
University of Liège,Belgium,6
University of Hull,United Kingdom,27
Northeastern University,USA,119
Kansas State University,USA,120
University of Vermont,USA,121
Rush University,USA,122
University of Louisville,USA,123
University of St Andrews,United Kingdom,28
University of Warwick,United Kingdom,29
University of Rome Tor Vergata,Italy,9
University of Innsbruck,Austria,3
Darmstadt University of Technology,Germany,29
Indian Institute of Technology Delhi,India,1
Federal University of Rio de Janeiro,Brazil,2
University of Antwerp,Belgium,7
National and Kapodistrian University of Athens,Greece,1
Boston College,USA,124
Vita-Salute San Raffaele University,Italy,10
Gwangju Institute of Science and Technology,South Korea,9
University of Nebraska–Lincoln,USA,125
University of York,United Kingdom,30
National Autonomous University of Mexico,Mexico,1
University of Regensburg,Germany,30
Yokohama National University,Japan,16
University of Adelaide,Australia,8
University of Genoa,Italy,11
Queen's University Belfast,United Kingdom,31
University of Marburg,Germany,31
University of Pavia,Italy,12
"St George's, University of London",United Kingdom,32
University of Oregon,USA,126
University of Navarra,Spain,6
San Diego State University,USA,127
Nankai University,China,10
University of East Anglia,United Kingdom,33
University of Nebraska Medical Center,USA,128
University of Southern Denmark,Denmark,4
Eindhoven University of Technology,Netherlands,11
Xiamen University,China,11
University of Otago,New Zealand,2
University of Santiago de Compostela,Spain,7
University of Exeter,United Kingdom,34
University of Jena,Germany,32
University of Perugia,Italy,13
Justus Liebig University Giessen,Germany,33
College of William and Mary,USA,129
Ben-Gurion University of the Negev,Israel,5
Saint Louis University,USA,130
Colorado School of Mines,USA,131
Oklahoma State University–Stillwater,USA,132
University of Guelph,Canada,15
University of Trieste,Italy,14
University of Verona,Italy,15
"University at Albany, SUNY",USA,133
Tongji University,China,12
Eötvös Loránd University,Hungary,1
University of Alabama - Tuscaloosa,USA,134
University of Eastern Finland,Finland,2
Ewha Womans University,South Korea,10
City University of Hong Kong,Hong Kong,4
Tokyo Medical and Dental University,Japan,17
University of Victoria,Canada,16
University of Buenos Aires,Argentina,1
University of Texas Medical Branch at Galveston,USA,135
Kyung Hee University,South Korea,11
Hong Kong Polytechnic University,Hong Kong,5
Saarland University,Germany,34
Scuola Normale Superiore di Pisa,Italy,16
University of Seville,Spain,8
Beijing Normal University,China,13
Chiba University,Japan,18
University of Ferrara,Italy,17
University of Bari Aldo Moro,Italy,18
Polytechnic University of Milan,Italy,19
Temple University,USA,136
University of Turku,Finland,3
Aalto University,Finland,4
Simon Fraser University,Canada,17
Tianjin University,China,14
Chalmers University of Technology,Sweden,9
Middle East Technical University,Turkey,1
Cranfield University,United Kingdom,35
York University,Canada,18
Xi'an Jiaotong University,China,15
Chonnam National University,South Korea,12
University of Central Florida,USA,137
University of Lorraine,France,14
University of Bordeaux II,France,15
University of New Hampshire,USA,138
Versailles Saint-Quentin-en-Yvelines University,France,16
Chonbuk National University,South Korea,13
Kumamoto University,Japan,19
Huazhong University of Science and Technology,China,16
Brunel University,United Kingdom,36
Polytechnic University of Catalonia,Spain,9
National Chiao Tung University,Taiwan,3
Southeast University,China,17
Tokyo University of Science,Japan,20
Catholic University of the Sacred Heart,Italy,20
Brigham Young University,USA,139
Technical University of Madrid,Spain,10
Nagasaki University,Japan,21
National Tsing Hua University,Taiwan,4
University of Warsaw,Poland,1
King Saud University,Saudi Arabia,1
University of Bath,United Kingdom,37
Concordia University,Canada,19
Georgia Regents University,USA,140
Niigata University,Japan,22
University of Oulu,Finland,5
Pompeu Fabra University,Spain,11
Vienna University of Technology,Austria,4
Sogang University,South Korea,14
Gyeongsang National University,South Korea,15
University of Tampere,Finland,6
University of Milan - Bicocca,Italy,21
University of Bordeaux I,France,17
Swedish University of Agricultural Sciences,Sweden,10
George Mason University,USA,141
Jilin University,China,18
University of Delhi,India,2
University of Campinas,Brazil,3
Wuhan University,China,19
West Virginia University,USA,142
Pusan National University,South Korea,16
University of Mississippi - Oxford Campus,USA,143
University of Arkansas for Medical Sciences,USA,144
Miami University,USA,145
University of Tokushima,Japan,23
University of Twente,Netherlands,12
Loyola University Chicago,USA,146
Ajou University,South Korea,17
Syracuse University,USA,147
Lancaster University,United Kingdom,38
Pontifical Catholic University of Chile,Chile,1
University of Chile,Chile,2
Innsbruck Medical University,Austria,5
University of Granada,Spain,12
Kanazawa University,Japan,24
University of Parma,Italy,22
University of Siena,Italy,23
Shandong University,China,20
Technical University of Dortmund,Germany,35
University of KwaZulu-Natal,South Africa,4
"University of Nevada, Reno",USA,148
Yokohama City University,Japan,25
École normale supérieure de Lyon,France,18
University College Cork,Ireland,3
Ohio University,USA,149
Central South University,China,21
University of Modena and Reggio Emilia,Italy,24
New Mexico State University,USA,150
University of Konstanz,Germany,36
University of Hawaii at Manoa,USA,151
University of Nebraska Omaha,USA,152
Shinshu University,Japan,26
University of Strathclyde,United Kingdom,39
Baylor University,USA,153
Polytechnic University of Valencia,Spain,13
Harbin Institute of Technology,China,22
University of Rennes 1,France,19
University of Arkansas - Fayetteville,USA,154
Aristotle University of Thessaloniki,Greece,2
Jagiellonian University,Poland,2
Texas Tech University (TTU),USA,155
University of Rostock,Germany,37
University of Akron,USA,156
University of Saskatchewan,Canada,20
Juntendo University,Japan,27
University of Wyoming,USA,157
Macquarie University,Australia,9
University of Canterbury,New Zealand,3
University of Denver,USA,158
Illinois Institute of Technology,USA,159
Creighton University,USA,160
Bielefeld University,Germany,38
University of Malaya,Malaysia,2
University of Ulsan,South Korea,18
City University London,United Kingdom,40
Grenoble Institute of Technology,France,20
Federal University of Minas Gerais,Brazil,4
University of Hanover,Germany,39
South China University of Technology,China,23
University of Surrey,United Kingdom,41
Otto-von-Guericke University Magdeburg,Germany,40
Indian Institute of Science,India,3
Tokyo Metropolitan University,Japan,28
Bar-Ilan University,Israel,6
Mississippi State University,USA,161
"University of Maryland, Baltimore County",USA,162
University of Wollongong,Australia,10
Flinders University,Australia,11
Martin Luther University of Halle-Wittenberg,Germany,41
Graduate University for Advanced Studies,Japan,29
Clemson University,USA,163
University of Brescia,Italy,25
Georgia State University,USA,164
Dongguk University,South Korea,19
University of Fribourg,Switzerland,8
Sichuan University,China,24
University of Iceland,Iceland,1
University of Sherbrooke,Canada,21
University of Graz,Austria,6
University of Málaga,Spain,14
University of Zaragoza,Spain,15
New York Medical College,USA,165
SUNY Downstate Medical Center,USA,166
École Centrale Paris,France,21
Utah State University,USA,167
University of Ljubljana,Slovenia,1
University of Montpellier 1,France,22
Victoria University of Wellington,New Zealand,4
East China University of Science and Technology,China,25
Konkuk University,South Korea,20
University of Potsdam,Germany,42
University of the Basque Country,Spain,16
University of Nice Sophia Antipolis,France,23
University of Udine,Italy,26
National Yang-Ming University,Taiwan,5
Indian Institute of Technology Bombay,India,4
University of Bayreuth,Germany,43
University of Wisconsin–Milwaukee,USA,168
University of Dayton,USA,169
Nihon University,Japan,30
Montana State University - Bozeman,USA,170
"Royal Holloway, University of London",United Kingdom,42
Tokyo Women's Medical University,Japan,31
